"Geographic Area Name",Internship Postings by County (in Thousands)
"Kings County, New York",43
"Cook County, Illinois",25
"Harris County, Texas",21
"Fulton County, Georgia",19
"Independent City, Virginia",18
"Dallas County, Texas",17
"Suffolk County, Massachusetts",16
"Los Angeles County, California",14
"Maricopa County, Arizona",13
"Mecklenburg County, North Carolina",12
"San Diego County, California",11
"Greenville County, South Carolina",11
"Travis County, Texas",11
"Denver County, Colorado",10
"Wake County, North Carolina",10
"Greenville County, South Carolina",10
"King County, Washington",9
"Hillsborough County, Florida",9
"Marion County, Indiana",8
"Orange County, California",8
"Hamilton County, Ohio",7
"Philadelphia County, Pennsylvania",6
